"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows","org.eclipse.jdt.ui.navigate.open.type.in.hierarchy"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.maximizePart"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View","org.eclipse.mylyn.tasks.ui.command.openSelectedTask"
"AnyEdit Tools","Convert Chars to Html Entities","Ctrl+Alt+E","Editing Text","AnyEdit.escape.command"
"Navigate","Quick Outline","Ctrl+O","PDE editor","org.eclipse.pde.ui.quickOutline"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Xtext Source","org.eclipse.jdt.ui.edit.text.java.open.hierarchy"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows","org.eclipse.pde.ui.junitWorkbenchShortcut.run"
"Uncategorized","Create Target Definition File","Alt+R","In Dialogs and Windows","org.eclipse.cbi.targetplatform.ui.convertTargetPlatform"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows","org.eclipse.pde.ui.EquinoxLaunchShortcut.run"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Embedded Xtext Editor context","org.eclipse.ui.edit.text.copyLineUp"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor","org.eclipse.mylyn.task.ui.editor.QuickOutline"
"Text Editing","Line End","End","Embedded Xtext Editor context","org.eclipse.ui.edit.text.goto.lineEnd"
"Text Editing","Join Lines","Ctrl+Alt+J","Embedded Xtext Editor context","org.eclipse.ui.edit.text.join.lines"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering","org.eclipse.debug.ui.command.prevpage"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"Language Servers","Go to Symbol in Workspace","Ctrl+Shift+T","In Windows","org.eclipse.lsp4e.symbolinworkspace"
"Run/Debug","Coverage TestNG Suite","Alt+Shift+E, G","In Windows","org.eclipse.eclemma.ui.testNgSuiteShortcut.coverage"
"Navigate","Open Task","Ctrl+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openTask"
"Git","Collapse Working Tree","Ctrl+Left","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCollapseWorkingTree"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows","org.eclipse.pde.ui.openManifest"
"Navigate","Next Edit Location","Ctrl+Alt+Right","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Edit","Find Next","Ctrl+K","Embedded Xtext Editor context","org.eclipse.ui.edit.findNext"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Inline Search","Delete Previous Word","Ctrl+Backspace","Inline Search is Active","com.genuitec.eclipse.inlinesearch.delete.previous"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows","org.eclipse.eclemma.ui.scalaShortcut.coverage"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows","org.eclipse.ui.views.showView"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"Inline Search","Close Replace Bar","Ctrl+Up","Inline Search is Active","com.genuitec.eclipse.inlinesearch.replace.toggle.close"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Display"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context","org.eclipse.ui.edit.text.goto.wordPrevious"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows","org.eclipse.ui.views.showView"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows","org.eclipse.tm.terminal.view.ui.command.launchToolbar"
"Git","Quick Outline","Ctrl+O","In Diff Viewer","org.eclipse.egit.ui.commit.DiffEditorQuickOutlineCommand"
"Application Category","Open Spy","Alt+Shift+F8","In Dialogs and Windows","org.eclipse.pde.spy.core.command"
"Application Category","Open Spy","Alt+Shift+F12","In Dialogs and Windows","org.eclipse.pde.spy.core.command"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows","org.eclipse.ui.window.previousEditor"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Editing","Toggle Comment","Ctrl+Shift+C","Editing Xtext Source","org.eclipse.xtext.ui.ToggleCommentAction"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggleMarkOccurrences"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Relative Number Ruler","Relative number ruler jump up","Alt+K","In Windows","com.github.matf.relativenumberruler.bindings.RelativeJumpUp"
"ANSI Support Commands","Copy Text Without ANSI Escapes","Ctrl+Insert","In Console View","AnsiConsole.command.copy_without_escapes"
"Navigate","Open from Clipboard","Ctrl+Shift+V","In Windows","org.eclipse.jdt.debug.ui.command.OpenFromClipboard"
"Run/Debug","Step Over","F10","In Windows","org.eclipse.debug.ui.commands.StepOver"
"Search","References in Workspace","Ctrl+Shift+G","In Windows","org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows","org.eclipse.pde.ui.runtimeWorkbenchShortcut.run"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows","org.eclipse.mylyn.context.ui.commands.interest.increment"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Auto::org.eclipse.core.runtime.xml","org.eclipse.m2e.core.ui.command.addPlugin"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows","org.eclipse.debug.ui.commands.ToggleBreakpoint"
"AnyEdit Tools","Convert Html Entities to Chars","Ctrl+Alt+W","Editing Text","AnyEdit.unescape.command"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows","org.eclipse.mylyn.context.ui.commands.open.context.dialog"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Source","Correct Indentation","Ctrl+Shift+I","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.indent"
"Text Editing","Move Lines Down","Alt+Down","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows","org.eclipse.jdt.ui.edit.text.java.extract.method"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text","org.eclipse.quickdiff.toggle"
"Navigate","Open Declaration","F3","In Windows","org.eclipse.jdt.ui.edit.text.java.open.editor"
"Editing","Toggle Comment","Ctrl+/","Editing Xtext Source","org.eclipse.xtext.ui.ToggleCommentAction"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows","org.eclipse.jdt.junit.junitShortcut.run"
"Run/Debug","Step Over","F6","Debugging","org.eclipse.debug.ui.commands.StepOver"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows","org.eclipse.eclemma.ui.workbenchShortcut.coverage"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Embedded Xtext Editor context","org.eclipse.ui.edit.text.select.wordNext"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Uncategorized","Find References","Ctrl+Shift+G","in Generic Code Editor","org.eclipse.ui.genericeditor.findReferences"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering","org.eclipse.debug.ui.command.nextpage"
"Inline Search","Open Replace Bar","Ctrl+Down","Inline Search is Active","com.genuitec.eclipse.inlinesearch.replace.toggle.open"
"Uncategorized","Copy Commit Id","Ctrl+C","In Git Reflog View","org.eclipse.egit.ui.internal.reflog.CopyCommand"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCopyPath"
"Editing","Select Enclosing Element","Alt+Shift+Up","Editing Xtext Source","org.eclipse.xtext.ui.editor.select.enclosing"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskIncomplete"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows","org.eclipse.jdt.ui.edit.text.java.modify.method.parameters"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows","org.eclipse.ant.ui.antShortcut.run"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows","org.eclipse.mylyn.context.ui.commands.toggle.focus.active.view"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows","org.eclipse.ui.navigate.openResource"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Application Category","Open Spy","Alt+Shift+F9","In Dialogs and Windows","org.eclipse.pde.spy.core.command"
"Language Servers","Enclosing Element","Alt+Shift+Up","in Generic Code Editor","org.eclipse.lsp4e.selectionRange.up"
"Navigate","Find References","Ctrl+Shift+G","Editing Xtext Source","org.eclipse.xtext.ui.editor.FindReferences"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Text Editing","Line Start","Home","Embedded Xtext Editor context","org.eclipse.ui.edit.text.goto.lineStart"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context","org.eclipse.ui.edit.text.select.lineEnd"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows","org.eclipse.jdt.ui.edit.text.java.rename.element"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Navigate","Next Tab","Ctrl+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Refactor - Java","Inline","Alt+Shift+I","In Windows","org.eclipse.jdt.ui.edit.text.java.inline"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows","org.eclipse.ui.views.showView"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows","org.eclipse.jdt.ui.edit.text.java.move.element"
"Uncategorized","Go to Matching Bracket","Ctrl+Shift+P","in Generic Code Editor","org.eclipse.ui.genericeditor.gotoMatchingBracket"
"Git","Rename Branch...","F2","In Git Repositories View","org.eclipse.egit.ui.team.RenameBranch"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor","org.eclipse.pde.ui.edit.text.format"
"Views","Show View","Alt+Shift+Q, T","In Windows","org.eclipse.ui.views.showView"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Select Line Start","Shift+Home","Embedded Xtext Editor context","org.eclipse.ui.edit.text.select.lineStart"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskUnread"
"Source","Format","Ctrl+Shift+F","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.format"
"Language Servers","Restore To Last Selection","Alt+Shift+Down","in Generic Code Editor","org.eclipse.lsp4e.selectionRange.down"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows","org.eclipse.pde.ui.searchTargetRepositories"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows","org.eclipse.m2e.profiles.ui.commands.selectMavenProfileCommand"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View","org.eclipse.debug.ui.commands.closeRendering"
"Views","Show View","Alt+Shift+Q, Q","In Windows","org.eclipse.ui.views.showView"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows","org.eclipse.ui.window.splitEditor"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows","org.eclipse.m2e.core.ui.command.openPom"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskUnread"
"Edit","Word Completion","Alt+/","Embedded Xtext Editor context","org.eclipse.ui.edit.text.hippieCompletion"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus","org.eclipse.tm.terminal.maximize"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToNextUnread"
"Refactoring","Rename Element","Alt+Shift+R","Editing Xtext Source","org.eclipse.xtext.ui.refactoring.RenameElement"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows","org.eclipse.mylyn.tasks.ui.command.deactivateAllTasks"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows","org.eclipse.eclemma.ui.junitShortcut.coverage"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"AnyEdit Tools","Open File under Cursor","Ctrl+Alt+R","Editing Text","AnyEdit.openFileFromTextEditor.command"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.next.member"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.previous.member"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View","org.eclipse.mylyn.tasks.ui.command.new.subtask"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Editing","Go to Matching Bracket","Ctrl+Shift+P","Editing Xtext Source","org.eclipse.xtext.ui.GotToMatchingBracketAction"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows","org.eclipse.ui.window.switchToEditor"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"Editing","Format","Ctrl+Shift+F","Editing Xtext Source","org.eclipse.xtext.ui.FormatAction"
"Inline Search","Show Inline Search","Ctrl+F","Editing Text","com.genuitec.eclipse.inlinesearch.commands.showFindReplaceBarCommand"
"Source","Organize Imports","Ctrl+Shift+O","Editing Xtext Source","org.eclipse.xtext.xbase.ui.organizeImports"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows","org.eclipse.pde.ui.junitWorkbenchShortcut.debug"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows","org.eclipse.eclemma.ui.swtBotJunitShortcut.coverage"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Edit","Find Next","Ctrl+K","In Windows","org.eclipse.ui.edit.findNext"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View","org.eclipse.debug.ui.commands.nextMemoryBlock"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openRemoteTask"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.searchForTask"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles","org.eclipse.ant.ui.renameInFile"
"Text Editing","Next Word","Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Window","Previous View","Ctrl+Shift+F7","In Windows","org.eclipse.ui.window.previousView"
"Source","Open Declaration","F3","Editing Ant Buildfiles","org.eclipse.ant.ui.open.declaration.command"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Embedded Xtext Editor context","org.eclipse.ui.edit.text.copyLineDown"
"Text Editing","Delete Next Word","Ctrl+Delete","Embedded Xtext Editor context","org.eclipse.ui.edit.text.deleteNextWord"
"File","Rename","Alt+Shift+R","Project Explorer +","org.eclipse.ui.edit.rename"
"Editing","Select Previous Element","Alt+Shift+Left","Editing Xtext Source","org.eclipse.xtext.ui.editor.select.previous"
"Inline Search","Replace and Find Next","Alt+Shift+1","Inline Search is Active","com.genuitec.eclipse.inlinesearch.replaceone"
"Run/Debug","Force Return","Alt+Shift+F","In Windows","org.eclipse.jdt.debug.ui.commands.ForceReturn"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows","org.eclipse.ui.views.showView"
"Window","Activate Editor","F12","Workbench Menu","org.eclipse.ui.window.activateEditor"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","Text Start","Ctrl+Home","Embedded Xtext Editor context","org.eclipse.ui.edit.text.goto.textStart"
"Text Editing","Previous Word","Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"TM4E Language Configuration","Add Block Comment","Ctrl+Shift+/","Editing Text","org.eclipse.tm4e.languageconfiguration.addBlockCommentCommand"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows","org.eclipse.ui.views.showView"
"AnyEdit Tools","Convert Camel <-> Pascal","Ctrl+Alt+B","Editing Text","AnyEdit.camelToPascal.command"
"AnyEdit Tools","Open Type under Cursor","Ctrl+Alt+T","Editing Text","AnyEdit.openTypeFromTextEditor.command"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"AnyEdit Tools","Convert Tabs to Spaces","Ctrl+Alt+Space","Editing Text","AnyEdit.CnvrtTabToSpaces.command"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source","org.eclipse.jdt.ui.edit.text.java.annotate.classFile"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows","org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.open.hierarchy"
"Inline Search","Close Inline Search","Esc","Editing Text","com.genuitec.eclipse.inlinesearch.commands.hideFindReplaceBarCommand"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Embedded Xtext Editor context","org.eclipse.ui.edit.text.smartEnter"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Embedded Xtext Editor context","org.eclipse.ui.edit.findIncrementalReverse"
"Run/Debug","Run to Line","Ctrl+R","Debugging","org.eclipse.debug.ui.commands.RunToLine"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows","org.eclipse.ui.views.showView"
"Application Category","Open Spy","Alt+Shift+F10","In Dialogs and Windows","org.eclipse.pde.spy.core.command"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows","org.eclipse.jdt.debug.ui.commands.AllInstances"
"AnyEdit Tools","Capitalize","Ctrl+Alt+C","Editing Text","AnyEdit.capitalize.command"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Uncategorized","Import SWTBot code","Ctrl+Alt+Y","In Windows","org.eclipse.swtbot.generator.client.commands.import.code"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows","org.eclipse.jdt.debug.ui.javaAppletShortcut.run"
"Inline Search","Delete Next Word","Ctrl+Delete","Inline Search is Active","com.genuitec.eclipse.inlinesearch.delete.next"
"AnyEdit Tools","Convert Spaces to Tabs","Ctrl+Alt+Tab","Editing Text","AnyEdit.CnvrtSpacesToTabs.command"
"File","Rename","Alt+Shift+R","in Generic Code Editor","org.eclipse.ui.edit.rename"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus","org.eclipse.tm.terminal.quickaccess"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"AnyEdit Tools","Convert Camel <-> Underscores","Ctrl+Alt+K","Editing Text","AnyEdit.camel.command"
"Navigate","Open Type Hierarchy","F4","In Windows","org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"TM4E Language Configuration","Toggle Line Comment","Ctrl+Shift+C","Editing Text","org.eclipse.tm4e.languageconfiguration.toggleLineCommentCommand"
"Run/Debug","Resume","F8","Debugging","org.eclipse.debug.ui.commands.Resume"
"Navigate","Previous Tab","Ctrl+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles","org.eclipse.ant.ui.toggleMarkOccurrences"
"Project","Build All","Ctrl+B","In Windows","org.eclipse.ui.project.buildAll"
"Run/Debug","SWTBot Test","Alt+Shift+D, S","In Windows","org.eclipse.swtbot.eclipse.ui.junitShortcut.debug"
